L,N,N_test,boundary_point_ind,center_G,center_pred,closest_point_ind,data_kwargs,data_sim_func,error_sd,level,model_kwargs_l,models_l,n_boot,p,use_true_contour,contain,contain_scb,contain_CS_scb,Lower_bound,Upper_bound,L1,L2,U1,U2,points_in_e1,inner_points_num,outer_points_num,true_set_points_up_num,true_set_points_low_num,precision_inner,sensitivity_inner,precision_outer,sensitivity_outer,method
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,,,0.9,,,,,,,176,302,252,248,1.0,0.6984126984126984,0.9949494949494949,0.7943548387096774,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.9000000000000341,0.9733333333333334,0.7166666666666668,0.9000000000000341,0.9733333333333334,0.9833333333333333,10.0,192,305,234,266,1.0,0.8205128205128205,1.0,0.7330827067669172,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,,,0.9,,,,,,,202,289,234,266,1.0,0.8632478632478633,1.0,0.793233082706767,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.8999999999999773,0.97,0.77,0.8999999999999773,0.97,0.9966666666666667,22.0,196,306,267,233,1.0,0.7340823970037453,1.0,0.8326180257510729,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,,,0.9,,,,,,,205,294,267,233,1.0,0.7677902621722846,1.0,0.8841201716738197,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.9000000000000341,0.9833333333333333,0.75,0.9000000000000341,0.9833333333333333,0.99,5.0,167,296,238,262,1.0,0.7016806722689075,1.0,0.7786259541984732,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,,,0.9,,,,,,,183,275,238,262,1.0,0.76890756302521,1.0,0.8587786259541985,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,True,True,0.9000000000000341,0.97,0.7666666666666666,0.9000000000000341,0.97,1.0,16.0,143,286,245,255,1.0,0.5836734693877551,1.0,0.8392156862745098,CS_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,True,,,0.9,,,,,,,157,270,245,255,1.0,0.6408163265306123,1.0,0.9019607843137255,naive_on_mean
0.9,100,500,False,True,False,False,"{'uniform_range_x': [-2, 2], 'binary': True, 'uniform_range_beta': [1, 3]}",<function generate_sim_data at 0x7f1bb38f2050>,1,0.5,[{}],[<class 'models.logistic_regression'>],300,3,False,False,True,True,0.9000000000000341,0.9766666666666667,0.7966666666666666,0.9000000000000341,0.9766666666666667,0.99,20.0,132,257,233,267,1.0,0.5665236051502146,0.9958847736625515,0.9063670411985019,CS_on_mean
