L,N,N_test,center_G,center_pred,data_kwargs,data_sim_func,error_sd,level,model_kwargs_l,models_l,n_boot,p,use_true_contour,contain,contain_scb,contain_CS_scb,Lower_bound,Upper_bound,L1,L2,U1,U2,points_in_e1,inner_points_num,outer_points_num,true_set_points_up_num,true_set_points_low_num,precision_inner,sensitivity_inner,precision_outer,sensitivity_outer,method
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,194,284,240,260,1.0,0.8083333333333333,1.0,0.8307692307692307,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.8999999999999773,0.9633333333333334,0.7933333333333334,0.8999999999999773,0.9633333333333334,1.0,37.0,0,500,240,260,1.0,0.0,1.0,0.0,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,52,446,240,260,0.9807692307692307,0.21250000000000002,0.962962962962963,0.19999999999999996,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9633333333333334,0.8666666666666667,0.9000000000000341,0.9633333333333334,0.9733333333333334,6.0,222,283,253,247,1.0,0.8774703557312253,1.0,0.8785425101214575,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,234,271,253,247,1.0,0.924901185770751,1.0,0.9271255060728745,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.97,0.8033333333333332,0.9000000000000341,0.97,0.9966666666666667,37.0,24,488,248,252,1.0,0.09677419354838712,1.0,0.04761904761904767,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,157,373,248,252,0.9554140127388535,0.6048387096774194,0.984251968503937,0.49603174603174605,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,False,True,0.900000000000091,0.9766666666666667,0.8966666666666667,0.900000000000091,0.9766666666666667,0.99,6.0,217,328,262,238,0.9953917050691244,0.8244274809160306,1.0,0.7226890756302521,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,246,299,262,238,0.983739837398374,0.9236641221374046,1.0,0.8445378151260504,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9666666666666667,0.6666666666666665,0.9000000000000341,0.9666666666666667,0.9966666666666667,20.0,0,500,263,237,1.0,0.0,1.0,0.0,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,71,432,263,237,0.9014084507042254,0.2433460076045627,0.8235294117647058,0.23628691983122363,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9733333333333334,0.8833333333333333,0.9000000000000341,0.9733333333333334,0.9933333333333333,7.0,166,328,238,262,1.0,0.6974789915966386,1.0,0.6564885496183206,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,213,290,238,262,0.9765258215962441,0.8739495798319328,1.0,0.8015267175572519,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.96,0.7866666666666666,0.9000000000000341,0.96,1.0,57.0,0,500,259,241,1.0,0.0,1.0,0.0,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,65,431,259,241,0.9692307692307692,0.2432432432432432,0.9420289855072463,0.26970954356846477,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9666666666666667,0.8733333333333335,0.9000000000000341,0.9666666666666667,0.9833333333333333,10.0,113,371,261,239,1.0,0.4329501915708812,1.0,0.5397489539748954,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,183,307,261,239,1.0,0.7011494252873562,1.0,0.8075313807531381,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.8999999999999773,0.9666666666666667,0.8366666666666667,0.8999999999999773,0.9666666666666667,0.9966666666666667,70.0,0,500,272,228,1.0,0.0,1.0,0.0,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,1,495,272,228,1.0,0.003676470588235281,0.8,0.01754385964912286,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.96,0.7933333333333334,0.9000000000000341,0.96,0.9733333333333334,2.0,216,259,247,253,1.0,0.8744939271255061,1.0,0.9525691699604744,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,223,252,247,253,1.0,0.902834008097166,0.9959677419354839,0.9762845849802372,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9666666666666667,0.7466666666666666,0.9000000000000341,0.9666666666666667,0.9966666666666667,32.0,86,391,243,257,1.0,0.3539094650205762,1.0,0.4241245136186771,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,152,313,243,257,0.993421052631579,0.6213991769547325,0.9732620320855615,0.7081712062256809,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.8999999999999773,0.9633333333333334,0.8900000000000001,0.8999999999999773,0.9633333333333334,0.9766666666666667,14.0,207,288,253,247,1.0,0.8181818181818181,1.0,0.8582995951417004,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,228,276,253,247,1.0,0.9011857707509882,1.0,0.9068825910931174,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.96,0.6866666666666665,0.9000000000000341,0.96,0.9933333333333333,30.0,44,463,244,256,1.0,0.180327868852459,1.0,0.14453125,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,119,375,244,256,0.9663865546218487,0.4713114754098361,0.992,0.484375,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.98,0.8833333333333333,0.9000000000000341,0.98,0.9933333333333333,20.0,200,340,254,246,1.0,0.7874015748031495,1.0,0.6504065040650406,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,222,300,254,246,1.0,0.8740157480314961,1.0,0.8130081300813008,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,False,True,0.9000000000000341,0.96,0.7533333333333334,0.9000000000000341,0.96,0.9933333333333333,56.0,2,500,276,224,1.0,0.007246376811594235,1.0,0.0,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,84,450,276,224,0.9523809523809523,0.28985507246376807,0.94,0.2098214285714286,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.97,0.8733333333333333,0.9000000000000341,0.97,0.9866666666666667,18.0,161,312,257,243,1.0,0.6264591439688716,1.0,0.7736625514403292,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,204,289,257,243,0.9950980392156863,0.7898832684824902,0.995260663507109,0.8641975308641976,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9666666666666667,0.8399999999999999,0.9000000000000341,0.9666666666666667,1.0,110.0,0,500,255,245,1.0,0.0,1.0,0.0,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,53,461,255,245,0.9811320754716981,0.20392156862745103,0.9230769230769231,0.14693877551020407,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.8999999999999773,0.9633333333333334,0.8466666666666667,0.8999999999999773,0.9633333333333334,0.9833333333333333,4.0,199,261,224,276,1.0,0.8883928571428571,1.0,0.8659420289855072,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,216,250,224,276,0.9722222222222222,0.9375,1.0,0.9057971014492754,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,False,True,0.9000000000000341,0.9633333333333334,0.7000000000000002,0.9000000000000341,0.9633333333333334,0.9966666666666667,26.0,49,451,231,269,1.0,0.21212121212121215,0.9795918367346939,0.1784386617100372,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,134,350,231,269,0.9850746268656716,0.5714285714285714,0.98,0.5464684014869888,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.9633333333333334,0.8599999999999999,0.9000000000000341,0.9633333333333334,0.98,20.0,176,303,248,252,1.0,0.7096774193548387,1.0,0.7817460317460317,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,197,268,248,252,1.0,0.7943548387096774,1.0,0.9206349206349207,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,False,True,0.9000000000000341,0.96,0.8466666666666667,0.9000000000000341,0.96,0.9966666666666667,57.0,0,498,249,251,1.0,0.0,1.0,0.007968127490039834,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,61,414,249,251,0.9836065573770492,0.24096385542168675,1.0,0.3426294820717132,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,True,True,0.9000000000000341,0.97,0.8533333333333335,0.9000000000000341,0.97,0.9833333333333333,5.0,223,269,248,252,1.0,0.8991935483870968,1.0,0.9166666666666666,CS_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,,,0.9,,,,,,,234,261,248,252,1.0,0.9435483870967742,1.0,0.9484126984126984,naive_on_mean
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,True,False,True,0.9000000000000341,0.9533333333333334,0.7133333333333334,0.9000000000000341,0.9533333333333334,0.9966666666666667,16.0,132,373,250,250,1.0,0.528,1.0,0.508,CS_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,,,0.9,,,,,,,190,308,250,250,1.0,0.76,0.9947916666666666,0.764,naive_on_y
0.9,100,500,True,False,"{'uniform_range_x': [-2, 2]}",<function generate_sim_data at 0x72e90ad70820>,1,0,[{}],[<class 'sklearn.linear_model._base.LinearRegression'>],300,3,False,False,True,True,0.9000000000000341,0.9666666666666667,0.8066666666666666,0.9000000000000341,0.9666666666666667,0.9766666666666667,4.0,236,271,258,242,1.0,0.9147286821705426,0.9912663755458515,0.9380165289256198,CS_on_mean
